mention_id,mention_text,doc_id
2038_1,E. B. Rampe,2038
2038_2,R. V. Morris,2038
2038_3,D. L. Bish,2038
2038_4,S. J. Chipera,2038
2038_5,D. W. Ming,2038
2038_6,D. F. Blake,2038
2038_7,D. T. Vaniman,2038
2038_8,T. F. Bristow,2038
2038_9,P. Cavanagh,2038
2038_10,J. D. Farmer,2038
2038_11,S. M. Morrison,2038
2038_12,K. Siebach,2038
2038_13,A. H. Treiman,2038
2038_14,C. N. Achilles,2038
2038_15,D. Blaney,2038
2038_16,J. A. Crisp,2038
2038_17,D. J. Des Marais,2038
2038_18,R. T. Downs,2038
2038_19,K. Fendrich,2038
2038_20,Torres,2038
2038_21,J. M. Morookian,2038
2038_22,Zorzano,2038
2038_23,P. Sarrazin,2038
2038_24,N. Spanovich,2038
2038_25,A. S. Yen,2038
2620_26,A.H. Treiman,2620
2620_27,Bish D.,2620
2620_28,Ming D.W.,2620
2620_29,Grotzinger J.,2620
2620_30,Vaniman D.T.,2620
2620_31,Baker M.B.,2620
2620_32,Farmer J.,2620
2620_33,Chipera S.,2620
2620_34,Downs R.T.,2620
2620_35,Morris R.V.,2620
2620_36,Rampe E.,2620
2620_37,Blake D.F.,2620
2620_38,Berger J.,2620
2620_39,Cavanagh P.D.,2620
2620_40,Gellert R. ,2620
2620_41,Glazner A.F.,2620
2620_42,Schmidt M.,2620
2620_43,Yen A.S.,2620
2620_44,Filiberto J.,2620
1989_1,O. Forni,1989
1989_2,D. T. Vaniman,1989
1989_3,L. Le Deit,1989
1989_4,S. M. Clegg,1989
1989_5,N. L. Lanza,1989
1989_6,J. Lasue,1989
1989_7,D. L. Bish,1989
1989_8,N. Mangold,1989
1989_9,R. C. Wiens,1989
1989_10,Meslin,1989
1989_11,O. Gasnault,1989
1989_12,S. Maurice,1989
1989_13,A. Cousin,1989
1989_14,M. J. Toplis,1989
1989_15,H. Newsom,1989
1989_16,and E. B. Rampe,1989
1989_17,France ,1989
2893_18,R.C. Wiens,2893
2893_19,R. E. Arvidson,2893
2893_20,B.C. Clark,2893
2893_21,W.W. Fischer,2893
2893_22,R. Gellert,2893
2893_23,J.P. Grotzinger,2893
2893_24,J.A. Hurowitz,2893
2893_25,S.M. McLennan,2893
2893_26,R.V. Morris,2893
2893_27,M. S. Rice,2893
2893_28,J.F. Bell III,2893
2893_29,J.A. Berger,2893
2893_30,D.L. Blaney,2893
2893_31,J.G. Blank,2893
2893_32,Zorzano,2893
1438_1,L. Le Deit,1438
1438_2,N. Mangold,1438
1438_3,O. Forni,1438
1438_4,D. Blaney,1438
1438_5,A. Cousin,1438
1438_6,G. Dromart,1438
1438_7,C. Fabre,1438
1438_8,M. Fisk,1438
1438_9,O. Gasnault,1438
1438_10,N. Lanza,1438
1438_11,J. Lasue,1438
1438_12,S. Le Mou lic,1438
1438_13,S. Maurice,1438
1438_14,M. Nachon,1438
1438_15,W. Rapin,1438
1438_16,M. Rice,1438
1438_17,V. Sautter,1438
1438_18,S. Schr der,1438
1438_19,D. Sumner,1438
1438_20,R. C. Wiens,1438
