mention_id,mention_text,doc_id
1002_1,M. Wirths,1002
1002_2,and R. Lena,1002
1003_4,M. Wirths,1003
1003_5,and R. Lena,1003
1005_7,M. Wirths,1005
1005_8,and R. Lena,1005
1009_10,M. Wirths,1009
1009_11,and R. Lena,1009
2038_13,E. B. Rampe,2038
2038_14,R. V. Morris,2038
2038_15,D. L. Bish,2038
2038_16,S. J. Chipera,2038
2038_17,D. W. Ming,2038
2038_18,D. F. Blake,2038
2038_19,D. T. Vaniman,2038
2038_20,T. F. Bristow,2038
2038_21,P. Cavanagh,2038
2038_22,J. D. Farmer,2038
2038_23,S. M. Morrison,2038
2038_24,K. Siebach,2038
2038_25,A. H. Treiman,2038
2038_26,C. N. Achilles,2038
2038_27,D. Blaney,2038
2038_28,J. A. Crisp,2038
2038_29,D. J. Des Marais,2038
2038_30,R. T. Downs,2038
2038_31,K. Fendrich,2038
2038_32,Torres,2038
2038_33,J. M. Morookian,2038
2038_34,Zorzano,2038
2038_35,P. Sarrazin,2038
2038_36,N. Spanovich,2038
2038_37,A. S. Yen,2038
2620_38,A.H. Treiman,2620
2620_39,Bish D.,2620
2620_40,Ming D.W.,2620
2620_41,Grotzinger J.,2620
2620_42,Vaniman D.T.,2620
2620_43,Baker M.B.,2620
2620_44,Farmer J.,2620
2620_45,Chipera S.,2620
2620_46,Downs R.T.,2620
2620_47,Morris R.V.,2620
2620_48,Rampe E.,2620
2620_49,Blake D.F.,2620
2620_50,Berger J.,2620
2620_51,Cavanagh P.D.,2620
2620_52,Gellert R. ,2620
2620_53,Glazner A.F.,2620
2620_54,Schmidt M.,2620
2620_55,Yen A.S.,2620
2620_56,Filiberto J.,2620
1001_1,M. Wirths,1001
1001_2,and R. Lena,1001
1004_4,M. Wirths,1004
1004_5,and R. Lena,1004
1006_7,M. Wirths,1006
1006_8,and R. Lena,1006
1008_10,M. Wirths,1008
1008_11,and R. Lena,1008
1438_13,L. Le Deit,1438
1438_14,N. Mangold,1438
1438_15,O. Forni,1438
1438_16,D. Blaney,1438
1438_17,A. Cousin,1438
1438_18,G. Dromart,1438
1438_19,C. Fabre,1438
1438_20,M. Fisk,1438
1438_21,O. Gasnault,1438
1438_22,N. Lanza,1438
1438_23,J. Lasue,1438
1438_24,S. Le Mou lic,1438
1438_25,S. Maurice,1438
1438_26,M. Nachon,1438
1438_27,W. Rapin,1438
1438_28,M. Rice,1438
1438_29,V. Sautter,1438
1438_30,S. Schr der,1438
1438_31,D. Sumner,1438
1438_32,R. C. Wiens,1438
1989_33,O. Forni,1989
1989_34,D. T. Vaniman,1989
1989_35,L. Le Deit,1989
1989_36,S. M. Clegg,1989
1989_37,N. L. Lanza,1989
1989_38,J. Lasue,1989
1989_39,D. L. Bish,1989
1989_40,N. Mangold,1989
1989_41,R. C. Wiens,1989
1989_42,Meslin,1989
1989_43,O. Gasnault,1989
1989_44,S. Maurice,1989
1989_45,A. Cousin,1989
1989_46,M. J. Toplis,1989
1989_47,H. Newsom,1989
1989_48,and E. B. Rampe,1989
1989_49,France ,1989
1011_50,M. Wirths,1011
1011_51,and R. Lena,1011
1012_52,M. Wirths,1012
1012_53,and R. Lena,1012
1007_1,M. Wirths,1007
1007_2,and R. Lena,1007
1010_4,M. Wirths,1010
1010_5,and R. Lena,1010
2893_8,R.C. Wiens,2893
2893_9,R. E. Arvidson,2893
2893_10,B.C. Clark,2893
2893_11,W.W. Fischer,2893
2893_12,R. Gellert,2893
2893_13,J.P. Grotzinger,2893
2893_14,J.A. Hurowitz,2893
2893_15,S.M. McLennan,2893
2893_16,R.V. Morris,2893
2893_17,M. S. Rice,2893
2893_18,J.F. Bell III,2893
2893_19,J.A. Berger,2893
2893_20,D.L. Blaney,2893
2893_21,J.G. Blank,2893
2893_22,Zorzano,2893
