mention_id,mention_text,doc_id,sentence_index,begin_index,end_index
2038_14_0_0,Rietveld,2038,14,0,0
2038_16_8_9,John Klein,2038,16,8,9
2038_21_15_15,Morris,2038,21,15,15
2038_22_11_11,Dillinger,2038,22,11,11
2038_23_18_18,Treiman,2038,23,18,18
2038_24_17_17,Dillinger,2038,24,17,17
1438_41_14_14,Krich,1438,41,14,14
1438_43_35_35,Grotzinger,1438,43,35,35
1438_44_3_3,Wiens,1438,44,3,3
1438_46_3_3,Maurice,1438,46,3,3
1438_48_3_4,Le Mou,1438,48,3,4
1438_49_3_3,Gupta,1438,49,3,3
1438_50_3_3,Grotzinger,1438,50,3,3
1438_51_3_3,Wiens,1438,51,3,3
1438_52_0_0,Acta,1438,52,0,0
1438_53_3_3,Mangold,1438,53,3,3
1438_56_3_3,Forni,1438,56,3,3
1438_57_0_0,Acta,1438,57,0,0
1438_58_3_3,Rampe,1438,58,3,3
1438_59_3_3,Mangold,1438,59,3,3
1438_62_3_3,Lanza,1438,62,3,3
1438_64_3_3,Fisk,1438,64,3,3
1989_18_1_1,Dillinger,1989,18,1,1
1989_33_1_1,Stephen,1989,33,1,1
1989_33_3_3,Neil,1989,33,3,3
1989_23_0_0,Kimberley,1989,23,0,0
1989_23_6_6,ChemCam,1989,23,6,6
1989_23_18_18,Gale,1989,23,18,18
1989_30_2_2,Li,1989,30,2,2
1989_77_5_6,Maurice S.,1989,77,5,6
1989_77_18_18,Wiens,1989,77,18,18
1989_77_59_59,Gupta,1989,77,59,59
1989_78_28_28,Rampe,1989,78,28,28
1989_78_96_98,Filiberto J. E.,1989,78,96,98
1989_79_10_11,Gottesmann B.,1989,79,10,11
2620_66_9_9,Windjana,2620,66,9,9
2620_78_18_18,Windjana,2620,78,18,18
2620_103_11_12,J. Appl,2620,103,11,12
2620_107_3_3,Blaney,2620,107,3,3
2620_108_3_3,Schmidt,2620,108,3,3
2620_109_3_4,Stolper E.M.,2620,109,3,4
2620_111_3_3,Foley,2620,111,3,3
2620_115_3_4,Goodrich C.A.,2620,115,3,4
2620_121_3_4,Glazner A.F.,2620,121,3,4
2620_123_3_3,Berger,2620,123,3,3
2620_125_3_3,Blake,2620,125,3,3
2893_22_4_4,Stephen,2893,22,4,4
2893_22_6_6,Neil,2893,22,6,6
2893_22_19_19,Stephen,2893,22,19,19
2893_23_9_9,Stephen,2893,23,9,9
2893_23_29_29,Gale,2893,23,29,29
2893_29_5_5,Stephen,2893,29,5,5
2893_35_0_0,ChemCam,2893,35,0,0
2893_36_4_4,Stephen,2893,36,4,4
2893_55_3_3,Maynard,2893,55,3,3
2893_55_5_5,J.B.,2893,55,5,5
2893_38_4_4,Stephen,2893,38,4,4
2893_95_3_3,Blaney,2893,95,3,3
2893_96_0_1,J. Geophys,2893,96,0,1
2893_99_3_3,Arvidson,2893,99,3,3
2893_100_0_0,Nat,2893,100,0,0
2893_105_16_16,Stephen,2893,105,16,16
2038_30_22_22,Cavanagh,2038,30,22,22
2038_34_15_15,Gale,2038,34,15,15
2038_35_7_8,John Klein,2038,35,7,8
2038_39_5_7,Rietveld H. M.,2038,39,5,7
2038_39_11_12,J. Appl,2038,39,11,12
2038_41_12_13,J. Appl,2038,41,12,13
1438_12_0_0,Kimberley,1438,12,0,0
1438_13_22_22,ChemCam,1438,13,22,22
1438_13_54_54,Dillinger,1438,13,54,54
1438_14_1_1,Dillinger,1438,14,1,1
1438_26_18_18,Dillinger,1438,26,18,18
1438_18_23_23,ChemCam,1438,18,23,23
1989_2_8_8,GALE,1989,2,8,8
1989_2_14_16,D. T. Vaniman2,1989,2,14,16
1989_2_18_20,L. Le Deit3,1989,2,18,20
1989_2_22_24,S. M. Clegg4,1989,2,22,24
1989_2_26_28,N. L. Lanza4,1989,2,26,28
1989_2_33_35,D. L. Bish5,1989,2,33,35
1989_2_37_38,N. Mangold3,1989,2,37,38
1989_2_40_42,R. C. Wiens4,1989,2,40,42
1989_3_11_13,M. J. Toplis1,1989,3,11,13
